date;conta;valor;tp_conta
2019-08-01;juros_e_encargos_da_divida;2,17453116301884e+08;despesa
2019-08-01;outras_despesas_correntes;7,42480890572824e+09;despesa
2019-08-01;pessoal_e_encargos_sociais;9,04341601068674e+09;despesa
2019-10-01;amortizacao_da_divida;2,50164930760150e+08;despesa
2019-10-01;demais_inversoes_financeiras;1,59993212323255e+07;despesa
2019-10-01;desp_total;2,11455813906600e+10;despesa
2019-10-01;despesas_correntes;1,95063546742790e+10;despesa
2019-10-01;despesas_de_capital;1,63922671638095e+09;despesa
2019-10-01;investimentos;1,37252039554714e+09;despesa
2019-10-01;juros_e_encargos_da_divida;2,42521640597345e+08;despesa
2019-10-01;outras_despesas_correntes;8,82636668009067e+09;despesa
2019-10-01;pessoal_e_encargos_sociais;1,04374663535910e+10;despesa
2019-12-01;amortizacao_da_divida;2,97713526184389e+08;despesa
2019-12-01;demais_inversoes_financeiras;1,60942331829190e+07;despesa
2019-12-01;desp_total;2,39362607722154e+10;despesa
2019-12-01;despesas_correntes;2,19934706137385e+10;despesa
2019-12-01;despesas_de_capital;1,94279015847684e+09;despesa
2019-12-01;investimentos;1,62844921285107e+09;despesa
2019-12-01;juros_e_encargos_da_divida;2,72176774883248e+08;despesa
2019-12-01;outras_despesas_correntes;9,93964395860502e+09;despesa
2019-12-01;pessoal_e_encargos_sociais;1,17816498802502e+10;despesa
2020-02-01;amortizacao_da_divida;1,19333815842385e+08;despesa
2020-02-01;demais_inversoes_financeiras;7,07953684756464e+06;despesa
2020-02-01;desp_total;9,20552422778660e+09;despesa
2020-02-01;despesas_correntes;8,67004557995656e+09;despesa
2020-02-01;despesas_de_capital;5,35478647830039e+08;despesa
2020-02-01;investimentos;4,09065295140089e+08;despesa
2020-02-01;juros_e_encargos_da_divida;8,50042635875273e+07;despesa
2020-02-01;outras_despesas_correntes;3,31798757416034e+09;despesa
2020-02-01;pessoal_e_encargos_sociais;5,26705374220869e+09;despesa
2020-04-01;amortizacao_da_divida;1,47680261608422e+08;despesa
2020-04-01;demais_inversoes_financeiras;9,86376700220899e+06;despesa
2020-04-01;desp_total;1,24478652223526e+10;despesa
2020-04-01;despesas_correntes;1,14340497625398e+10;despesa
2020-04-01;despesas_de_capital;1,01381545981283e+09;despesa
2020-04-01;investimentos;8,56247410358822e+08;despesa
2020-04-01;juros_e_encargos_da_divida;1,29086479351488e+08;despesa
2020-04-01;outras_despesas_correntes;4,86569789633110e+09;despesa
2020-04-01;pessoal_e_encargos_sociais;6,43926538685720e+09;despesa
2020-06-01;amortizacao_da_divida;2,14945787393417e+08;despesa
