date;cod_ibge;Executivo;Legislativo;total
2019-12-01;2301208;53,76;2,47;56,23
2020-04-01;2301208;56,16;2,41;58,57
2020-08-01;2301208;57,13;2,36;59,49
2020-12-01;2301208;62,81;2,32;65,13
2021-04-01;2301208;60,22;2,19;62,41
2018-04-01;2301307;41,42;1,68;43,10
2018-08-01;2301307;43,10;1,78;44,88
2018-12-01;2301307;42,68;1,78;44,46
2019-04-01;2301307;57,90;2,38;60,28
2019-08-01;2301307;60,28;2,47;62,75
2019-12-01;2301307;59,71;2,41;62,12
2020-04-01;2301307;61,21;2,47;63,68
2020-08-01;2301307;60,17;2,47;62,64
2020-12-01;2301307;62,66;2,67;65,33
2021-04-01;2301307;61,99;2,50;64,49
2018-04-01;2301406;43,47;1,65;45,12
2018-08-01;2301406;44,86;1,65;46,51
2018-12-01;2301406;66,83;2,53;69,36
2019-04-01;2301406;53,78;2,51;56,29
2019-08-01;2301406;50,60;2,70;53,30
2019-12-01;2301406;45,10;2,59;47,69
2020-04-01;2301406;46,78;2,73;49,51
2020-08-01;2301406;46,56;2,65;49,21
2020-12-01;2301406;49,90;2,62;52,52
2021-04-01;2301406;48,73;2,55;51,28
2018-04-01;2301505;43,77;2,48;46,25
2018-08-01;2301505;46,25;2,24;48,49
2018-12-01;2301505;46,01;2,24;48,25
2018-04-01;2301604;49,79;1,89;51,68
2018-08-01;2301604;48,11;1,79;49,90
2018-12-01;2301604;53,64;2,01;55,65
2019-04-01;2301604;54,04;1,96;56,00
2019-08-01;2301604;54,09;1,99;56,08
2019-12-01;2301604;48,46;1,89;50,35
2020-04-01;2301604;48,57;1,89;50,46
2020-08-01;2301604;46,44;1,80;48,24
2020-12-01;2301604;49,09;1,89;50,98
2021-04-01;2301604;49,93;1,81;51,74
2020-04-01;2301703;53,30;2,44;55,74
2020-08-01;2301703;47,71;2,20;49,91
2020-12-01;2301703;49,75;2,15;51,90
2021-04-01;2301703;49,51;2,93;52,44
2018-04-01;2301802;60,36;3,58;63,94
2018-08-01;2301802;61,35;3,61;64,96
2018-12-01;2301802;49,08;2,78;51,86
2020-04-01;2301802;66,72;3,55;70,27
2020-08-01;2301802;67,68;3,60;71,28
2020-12-01;2301802;70,50;3,44;73,94
2021-04-01;2301802;66,95;3,47;70,42
2018-04-01;2301851;62,11;3,34;65,45
2018-08-01;2301851;59,02;3,30;62,32
2018-12-01;2301851;59,11;3,29;62,40
2019-04-01;2301851;58,17;0,77;58,94
2019-08-01;2301851;57,37;1,57;58,94
2019-12-01;2301851;53,98;1,75;55,73
2020-04-01;2301851;49,83;2,15;51,98
2020-08-01;2301851;49,32;2,27;51,59
2020-12-01;2301851;51,51;2,47;53,98
2021-04-01;2301851;52,10;2,52;54,62
2018-04-01;2301901;35,82;1,31;37,13
2018-08-01;2301901;41,42;1,54;42,96
2018-12-01;2301901;41,24;1,56;42,80
2019-04-01;2301901;40,46;1,56;42,02
2019-08-01;2301901;41,49;1,59;43,08
2019-12-01;2301901;40,11;1,54;41,65
2020-04-01;2301901;;1,46;
2020-08-01;2301901;33,14;1,29;34,43
2020-12-01;2301901;35,82;1,36;37,18
2021-04-01;2301901;36,01;1,32;37,33
2021-04-01;2301950;52,01;2,51;54,52
2018-04-01;2302008;55,99;2,86;58,85
2018-08-01;2302008;54,84;2,65;57,49
2018-12-01;2302008;56,81;2,52;59,33
2019-04-01;2302008;57,80;2,64;60,44
2019-08-01;2302008;60,13;2,67;62,80
2019-12-01;2302008;57,43;2,46;59,89
