date;cod_ibge;transferencias_de_capital;operacoes_de_credito;investimentos
2018-04-01;2300309;1,39817140667575e+05;0,000000000;1,68754195139777e+06
2018-04-01;2300705;3,44119380632991e+05;0,000000000;8,00384612752830e+05
2018-04-01;2300754;8,97521577454412e+05;0,000000000;1,84745279126153e+06
2018-04-01;2300903;4,01422897977363e+05;0,000000000;1,18562694770200e+06
2018-04-01;2301000;1,50329157160396e+06;0,000000000;6,22630862929548e+06
2018-04-01;2301208;2,79915582523606e+06;0,000000000;1,82334459922553e+06
2018-04-01;2301307;1,14796325586879e+06;0,000000000;2,55112290218088e+06
2018-04-01;2301505;2,35976916919933e+05;0,000000000;2,97209241424230e+05
2018-04-01;2301604;9,12726294277929e+05;0,000000000;1,28753104879873e+06
2018-04-01;2301851;4,11146541971023e+05;0,000000000;1,19372992891454e+06
2018-04-01;2301901;7,36743578778034e+06;0,000000000;2,87506518090075e+06
2018-04-01;2302057;6,22427478463634e+03;0,000000000;1,70817920227599e+06
2018-04-01;2302107;7,22312843756550e+05;0,000000000;4,45600709112869e+05
2018-04-01;2302206;7,15491327507860e+05;0,000000000;5,88075218658038e+05
2018-04-01;2302305;3,46574426220918e+05;0,000000000;5,31677636079962e+04
2018-04-01;2302404;3,52677623663802e+05;0,000000000;5,26981409202473e+05
2018-04-01;2302503;9,67687021273056e+05;0,000000000;0,00000000000000e+00
2018-04-01;2302602;1,02305044687209e+07;0,000000000;1,90613572874149e+07
2018-04-01;2302701;9,53189036357944e+05;0,000000000;1,12949882358546e+06
2018-04-01;2302800;2,86769974586041e+05;0,000000000;1,09398942278348e+06
2018-04-01;2302909;1,12748714316967e+05;0,000000000;4,10455503998900e+05
2018-04-01;2303006;1,06538240559631e+05;0,000000000;3,55721834304129e+05
2018-04-01;2303105;2,92290110173968e+05;0,000000000;4,00677293749004e+06
2018-04-01;2303204;6,39764689184657e+05;0,000000000;9,95371044568749e+05
2018-04-01;2303402;2,15228702570006e+06;0,000000000;1,13492301736848e+06
2018-04-01;2303501;5,96608624428579e+05;0,000000000;1,46526553110302e+06
2018-04-01;2303600;1,16854568121961e+06;0,000000000;2,59061252843403e+06
2018-04-01;2303709;1,78965940054496e+05;0,000000000;1,26043450758727e+07
2018-04-01;2303808;6,46605077162283e+05;0,000000000;6,22654914345787e+05
2018-04-01;2303907;7,44611885165584e+03;0,000000000;9,32085934843324e+04
2018-04-01;2303956;2,09702989210281e+06;0,000000000;3,52025631241485e+06
2018-04-01;2304004;8,80025236185024e+05;0,000000000;2,70575967315212e+06
2018-04-01;2304103;1,38462243454648e+06;0,000000000;3,88922401249555e+06
2018-04-01;2304202;7,57163592538252e+05;0,000000000;3,15800597270017e+06
2018-04-01;2304251;1,07624088867690e+06;0,000000000;8,30198973177007e+05
2018-04-01;2304269;5,16247904003354e+05;0,000000000;5,42008399080905e+05
2018-04-01;2304277;2,29443512890379e+05;0,000000000;8,93247801972857e+04
2018-04-01;2304285;1,85596857577028e+05;0,000000000;3,75010138586931e+06
2018-04-01;2304400;2,52815711169000e+07;17588771,120117377;1,11883245459071e+08
2018-04-01;2304459;2,28948465566967e+05;0,000000000;9,83353080167942e+05
2018-04-01;2304509;3,69203292679732e+05;0,000000000;1,20990228933714e+06
2018-04-01;2304608;1,21751848319273e+05;0,000000000;5,50425522879113e+05
2018-04-01;2304657;5,13510746144152e+05;0,000000000;2,88284461234359e+06
2018-04-01;2304707;4,27590425846783e+06;0,000000000;5,01848530468429e+06
2018-04-01;2304806;1,52075538925540e+05;0,000000000;4,32565438064609e+05
2018-04-01;2304954;2,84013735057090e+06;0,000000000;4,39009026431042e+06
2018-04-01;2305001;3,49099176748061e+05;0,000000000;3,48217739665636e+06
2018-04-01;2305100;5,92261702355114e+05;0,000000000;2,62710665490463e+05
2018-04-01;2305209;2,06499161601341e+05;0,000000000;6,28145210804863e+05
2018-04-01;2305233;1,56770210176011e+06;299061,986318644;4,50170957735171e+06
2018-04-01;2305407;3,80233330674911e+04;0,000000000;9,39157773964578e+05
2018-04-01;2305605;2,80838859777824e+05;0,000000000;5,17678897304548e+05
2018-04-01;2305704;1,14687339918256e+05;0,000000000;1,03254135254402e+05
2018-04-01;2305803;1,55562701739677e+05;0,000000000;2,27094205198150e+06
2018-04-01;2306009;4,35854412161182e+06;0,000000000;4,62534199059133e+06
2018-04-01;2306108;8,81019747619472e+05;0,000000000;1,87165278364703e+06
2018-04-01;2306306;3,44050547579124e+05;0,000000000;8,42090686284846e+05
2018-04-01;2306405;1,14526729459233e+05;0,000000000;3,13288108204202e+06
2018-04-01;2306504;8,22554993712010e+05;0,000000000;3,04054046189478e+05
2018-04-01;2306553;8,43519224540453e+05;0,000000000;1,91806079720001e+06
2018-04-01;2306702;7,68708042889331e+05;0,000000000;1,46514666789117e+06
2018-04-01;2306801;2,86804391112974e+05;0,000000000;7,87523454914326e+05
2018-04-01;2307007;1,65246181646405e+05;0,000000000;2,85883576934867e+05
2018-04-01;2307106;5,97257157989939e+05;0,000000000;7,48905094512681e+05
2018-04-01;2307254;1,98195658230717e+05;0,000000000;4,40760237982132e+06
2018-04-01;2307304;5,72330111884091e+06;0,000000000;1,06217709004619e+07
2018-04-01;2307403;5,92881658726944e+05;0,000000000;1,14759495314190e+06
2018-04-01;2307502;3,35668832651043e+06;0,000000000;4,63539180001074e+06
2018-04-01;2307601;4,27079638698386e+06;0,000000000;1,20336466354695e+06
2018-04-01;2307635;8,02461374821054e+05;0,000000000;7,64545306595839e+05
2018-04-01;2307650;3,23935755640799e+06;0,000000000;3,34488153503558e+07
2018-04-01;2307700;7,04534321382834e+05;0,000000000;4,48616826689478e+06
2018-04-01;2307908;1,24470077088661e+05;0,000000000;1,07071035929784e+06
2018-04-01;2308203;1,72082634667785e+05;0,000000000;6,18608850078600e+05
2018-04-01;2308302;8,34943222581744e+04;0,000000000;0,00000000000000e+00
2018-04-01;2308377;7,49155337080015e+05;0,000000000;7,78255003905890e+05
2018-04-01;2308401;6,34546501259694e+05;0,000000000;0,00000000000000e+00
2018-04-01;2308500;1,83099905278689e+06;0,000000000;5,38969696232105e+06
2018-04-01;2308708;1,22063031083630e+04;0,000000000;1,88392887199984e+06
2018-04-01;2308906;1,19334290359699e+06;0,000000000;1,01084190439504e+06
2018-04-01;2309102;1,07142089996856e+03;0,000000000;6,93521698150283e+05
2018-04-01;2309409;1,54023691021484e+06;0,000000000;2,09650766719529e+06
2018-04-01;2309458;3,75726176724219e+05;0,000000000;1,28878226163540e+06
2018-04-01;2309607;1,14721756445190e+06;0,000000000;2,82284465189138e+06
2018-04-01;2309706;8,03052295116328e+04;0,000000000;8,93068388617952e+06
2018-04-01;2310100;2,30385986536104e+05;0,000000000;1,10402298760218e+05
2018-04-01;2310209;3,48154248056749e+05;0,000000000;2,50462562362922e+06
2018-04-01;2310258;5,73608782225948e+05;0,000000000;1,34286456414143e+06
2018-04-01;2310407;3,44165269335569e+05;0,000000000;4,51884455656047e+05
2018-04-01;2310605;3,51390445556487e+03;0,000000000;3,09634020645567e+03
2018-04-01;2310704;5,58257806635139e+05;0,000000000;2,37308943203495e+06
2018-04-01;2310852;2,51145552603830e+06;0,000000000;1,35138911339237e+06
2018-04-01;2310902;4,76683731552872e+05;0,000000000;1,72607351331849e+06
2018-04-01;2310951;2,91260700381209e+05;0,000000000;1,58158302129166e+06
2018-04-01;2311009;2,62276879584993e+05;0,000000000;5,78908514375393e+05
2018-04-01;2311108;1,37666107734228e+05;0,000000000;5,96030920079648e+04
2018-04-01;2311231;2,06499161601341e+05;0,000000000;6,97741393795850e+05
2018-04-01;2311264;2,75398065756655e+05;0,000000000;4,68615350422081e+05
2018-04-01;2311306;1,08389115489415e+05;0,000000000;1,90692940253301e+06
2018-04-01;2311355;2,64790444740882e+05;0,000000000;7,18653162365070e+05
2018-04-01;2311405;6,03159139208106e+06;0,000000000;1,02110664043628e+07
2018-04-01;2311702;2,70652118469922e+05;0,000000000;1,43806014991957e+06
2018-04-01;2311801;4,71318837445766e+05;0,000000000;4,92964408816260e+06
2018-04-01;2311900;4,68463998008803e+04;0,000000000;1,73370260189950e+05
2018-04-01;2311959;2,14518212376860e+05;0,000000000;3,68495447970289e+05
2018-04-01;2312007;7,26818678407043e+05;0,000000000;1,29700224756733e+06
2018-04-01;2312106;6,19372701949539e+05;0,000000000;1,13382345522165e+05
2018-04-01;2312700;6,89762151469818e+04;0,000000000;6,71904264584993e+05
2018-04-01;2312908;6,77545085166265e+06;0,000000000;1,86003966658863e+07
2018-04-01;2313005;2,20229724504454e+06;0,000000000;2,10913599722909e+06
2018-04-01;2313104;7,60765855690631e+05;0,000000000;3,87705055422605e+05
2018-04-01;2313302;2,77778682163435e+06;0,000000000;7,22357208954202e+06
2018-04-01;2313351;6,30969660448543e+05;0,000000000;2,65053954879349e+06
2018-04-01;2313401;2,25595745179208e+05;0,000000000;3,77979074546767e+06
2018-04-01;2313500;7,59703027450220e+05;0,000000000;2,67934619330905e+06
2018-04-01;2313559;1,45999496122406e+05;0,000000000;3,31928301101708e+05
2018-04-01;2313708;3,44165269335569e+03;0,000000000;1,66021540109516e+04
2018-04-01;2313757;2,74170152908719e+05;0,000000000;1,00329860474350e+06
2018-04-01;2313807;3,48288197179575e+05;0,000000000;9,62243313319273e+05
2018-04-01;2314102;1,35821100822286e+06;0,000000000;1,97789478968717e+06
2018-06-01;2300101;1,13674669913830e+06;0,000000000;5,13641611643110e+05
2018-06-01;2300150;3,56370939976430e+05;0,000000000;4,80634685880669e+05
2018-06-01;2300200;2,54531804256477e+06;0,000000000;1,10811583979847e+06
2018-06-01;2300309;2,14852694639268e+05;0,000000000;3,08506644575691e+06
2018-06-01;2300606;1,24268135489230e+03;0,000000000;3,31149975705864e+05
2018-06-01;2300705;1,23558354265868e+06;0,000000000;2,10541775751424e+06
2018-06-01;2300754;2,80422735424644e+06;0,000000000;2,82950581192453e+06
2018-06-01;2300903;6,31818131593867e+05;0,000000000;1,22337064520914e+06
2018-06-01;2301000;1,70435571927370e+06;0,000000000;8,08643062691271e+06
2018-06-01;2301109;5,63977039147897e+05;0,000000000;1,87159195177255e+07
2018-06-01;2301208;2,44329438291002e+06;0,000000000;2,53927479145116e+06
2018-06-01;2301307;1,70844777164844e+06;0,000000000;4,25957631576383e+06
2018-06-01;2301406;2,65180584244894e+05;0,000000000;7,50248739681453e+05
2018-06-01;2301505;2,96962759373650e+05;0,000000000;1,24291882128442e+06
2018-06-01;2301604;9,25988031622810e+05;0,000000000;1,38425519787791e+06
2018-06-01;2301802;3,13928567424571e+06;0,000000000;8,88004817290671e+05
2018-06-01;2301851;9,51655086057477e+05;0,000000000;1,50193746635676e+06
2018-06-01;2301901;7,82537207737500e+06;0,000000000;4,25374160943223e+06
2018-06-01;2302057;1,13438273271470e+04;0,000000000;1,96972069994102e+06
2018-06-01;2302107;1,33152305696844e+06;0,000000000;9,91289168011482e+05
2018-06-01;2302206;9,74595474734977e+05;0,000000000;8,67837766153166e+05
2018-06-01;2302305;3,40898104256947e+05;0,000000000;1,62435938076563e+05
2018-06-01;2302404;9,86194766881133e+05;0,000000000;2,60004861820996e+06
2018-06-01;2302503;2,55034645322463e+06;0,000000000;1,07487689005224e+07
2018-06-01;2302602;1,73118585349401e+07;0,000000000;2,92047947449533e+07
2018-06-01;2302701;1,92987182171378e+06;0,000000000;6,67665469786124e+06
2018-06-01;2302800;4,73905914746078e+05;0,000000000;1,51808260820512e+06
2018-06-01;2302909;1,18548238809472e+06;0,000000000;8,02972360959389e+05
2018-06-01;2303006;1,22034931304362e+05;0,000000000;4,48069110884654e+05
2018-06-01;2303105;9,62125713215686e+05;0,000000000;6,92055943759808e+06
2018-06-01;2303204;1,31009576613608e+06;0,000000000;3,03073965550943e+06
2018-06-01;2303402;2,46007820373233e+06;0,000000000;1,89587288359638e+06
2018-06-01;2303501;1,34106950157985e+06;0,000000000;1,91449524090424e+06
2018-06-01;2303600;1,16652797955827e+06;0,000000000;3,64229881421944e+06
2018-06-01;2303709;5,68713457773795e+05;0,000000000;2,03408368497247e+07
2018-06-01;2303808;9,68791766321034e+05;0,000000000;1,81764900082913e+06
2018-06-01;2303907;7,32416360976200e+03;0,000000000;9,16819892504451e+04
2018-06-01;2303956;5,09842017343091e+06;0,000000000;5,19556867423494e+06
2018-06-01;2304004;1,09129746651025e+06;0,000000000;3,62288978460307e+06
2018-06-01;2304103;1,36194458487729e+06;0,000000000;4,76875264746522e+06
2018-06-01;2304202;3,09753490958398e+06;0,000000000;4,64538886804251e+06
2018-06-01;2304236;1,46695642348239e+05;0,000000000;2,95866988062429e+06
2018-06-01;2304251;1,79642751269870e+06;0,000000000;1,87312333466530e+06
2018-06-01;2304269;8,76280777427118e+05;0,000000000;6,76746921935708e+05
2018-06-01;2304285;3,82176001157706e+05;0,000000000;4,20864040657351e+06
2018-06-01;2304400;4,01787043989041e+07;22121961,817776099;1,72577116725401e+08
2018-06-01;2304459;4,22430086601955e+05;0,000000000;2,34264625444073e+06
2018-06-01;2304509;1,03110936159851e+06;0,000000000;1,80247399111645e+06
2018-06-01;2304608;3,76475126389049e+05;0,000000000;8,15861480183033e+05
2018-06-01;2304657;1,08697384942192e+06;0,000000000;7,65854789713751e+06
2018-06-01;2304707;6,85447247522191e+06;0,000000000;7,66104657529791e+06
2018-06-01;2304806;6,30556865029518e+05;0,000000000;9,90217883588253e+05
2018-06-01;2304954;2,79362054839501e+06;0,000000000;4,72798772265719e+06
2018-06-01;2305001;3,43381503501980e+05;0,000000000;5,45757761970231e+06
2018-06-01;2305100;6,38982825756117e+05;0,000000000;3,00654885574511e+05
2018-06-01;2305209;4,52052258671374e+05;0,000000000;1,15752038189404e+06
2018-06-01;2305233;3,79196233509799e+06;294163,840370486;5,17036254879281e+06
2018-06-01;2305332;4,13004654611197e+05;0,000000000;2,79643446420654e+06
2018-06-01;2305357;1,12831517526157e+05;0,000000000;1,81121420776180e+06
2018-06-01;2305407;1,27526173486391e+06;0,000000000;1,33421048728342e+06
2018-06-01;2305506;5,10443714345599e+05;0,000000000;4,65510822167913e+06
2018-06-01;2305605;4,56787661712056e+05;0,000000000;6,49467016619103e+05
2018-06-01;2305704;1,24818188855063e+06;0,000000000;2,24816228814720e+05
2018-06-01;2305803;3,75450570170048e+05;0,000000000;3,45100894915244e+06
2018-06-01;2305902;2,20043463522359e+05;0,000000000;2,64054297983209e+06
2018-06-01;2306009;6,96050174966522e+06;0,000000000;5,32477895206205e+06
2018-06-01;2306108;1,38380076863076e+06;0,000000000;3,51637140431961e+06
2018-06-01;2306207;3,20473557130000e+05;0,000000000;1,70881203949695e+06
2018-06-01;2306256;7,89899612644366e+04;0,000000000;1,70306591476477e+06
2018-06-01;2306306;1,73833337523868e+06;0,000000000;1,63177869342588e+06
2018-06-01;2306405;2,25666420336369e+06;0,000000000;7,44546664265384e+06
2018-06-01;2306504;1,20064741121944e+06;0,000000000;8,15763487493944e+05
2018-06-01;2306553;1,37134920865540e+06;0,000000000;4,51633871415117e+06
2018-06-01;2306702;2,44852044902152e+06;0,000000000;2,41277896979007e+06
2018-06-01;2306801;1,50306612006042e+06;0,000000000;1,13578978089470e+06
2018-06-01;2307007;1,79123097754844e+05;0,000000000;2,98463421942031e+05
2018-06-01;2307106;5,87475063099083e+05;0,000000000;1,31453742807938e+06
2018-06-01;2307254;6,30522752650532e+05;0,000000000;9,01797100960844e+06
2018-06-01;2307304;6,02058568899537e+06;0,000000000;1,63997009007722e+07
2018-06-01;2307403;1,48791613888119e+06;0,000000000;2,63494305423393e+06
2018-06-01;2307502;6,42934773636566e+06;0,000000000;1,41332385907805e+07
2018-06-01;2307601;6,69017691034014e+06;0,000000000;2,88602842153664e+06
2018-06-01;2307635;9,73799323631112e+05;0,000000000;1,28880177650549e+06
2018-06-01;2307650;6,77400328023715e+06;0,000000000;4,68509685751798e+07
2018-06-01;2307700;1,73350738199671e+06;0,000000000;9,40678345392030e+06
2018-06-01;2307908;2,75500261587127e+05;0,000000000;1,09639585099150e+06
2018-06-01;2308203;4,92276722880150e+05;0,000000000;1,33185437471882e+06
2018-06-01;2308302;1,35252140974257e+05;0,000000000;9,85152133245283e+05
2018-06-01;2308377;2,28508863936618e+06;0,000000000;9,98739839686349e+05
2018-06-01;2308401;1,05777016616728e+06;0,000000000;1,04528746722076e+07
2018-06-01;2308500;5,74874364434717e+06;0,000000000;8,22244478404329e+06
2018-06-01;2308708;1,53022286874314e+04;0,000000000;4,78378418883968e+06
2018-06-01;2308807;5,72225847959940e+05;0,000000000;2,60726250054951e+06
2018-06-01;2308906;3,06047314700283e+06;0,000000000;1,41931789380366e+06
2018-06-01;2309102;7,51125697515691e+03;0,000000000;7,86796807975938e+05
2018-06-01;2309300;1,61501216012081e+05;0,000000000;1,69176531751500e+06
2018-06-01;2309409;3,08268650079257e+06;0,000000000;4,30190317678162e+06
2018-06-01;2309458;5,12216734300421e+05;0,000000000;1,67760612998846e+06
2018-06-01;2309607;1,12842801806338e+06;0,000000000;4,24494295149982e+06
2018-06-01;2309706;1,47266626925380e+06;0,000000000;1,13530122121372e+07
2018-06-01;2309904;2,48254175258224e+05;0,000000000;1,67450548061755e+05
2018-06-01;2310100;2,27607384233119e+05;0,000000000;5,53183354332396e+05
2018-06-01;2310209;6,80980456615356e+05;0,000000000;3,28156275357218e+06
2018-06-01;2310258;8,01183892825000e+05;0,000000000;2,14181992006599e+06
2018-06-01;2310407;6,03708989663909e+05;0,000000000;5,09252816552456e+05
2018-06-01;2310605;3,79930203716156e+04;0,000000000;3,04562722075306e+03
2018-06-01;2310704;9,41683664170179e+05;0,000000000;4,58945414685925e+06
2018-06-01;2310852;2,73911958528294e+06;0,000000000;1,62309838502401e+06
2018-06-01;2310902;4,68876432079608e+05;0,000000000;2,29267680999504e+06
2018-06-01;2310951;1,58180990346844e+06;0,000000000;2,20826757317386e+06
2018-06-01;2311009;4,75414916397513e+05;0,000000000;7,19994501226276e+05
2018-06-01;2311108;1,51209354420493e+06;0,000000000;3,18693013945582e+06
2018-06-01;2311231;2,98959700070664e+06;0,000000000;1,28048194443399e+06
2018-06-01;2311264;7,98690518276287e+05;0,000000000;1,48036522894548e+06
2018-06-01;2311306;3,04652996316751e+05;0,000000000;3,36520822517362e+06
2018-06-01;2311355;2,60453610561507e+05;0,000000000;1,06686609717676e+06
2018-06-01;2311405;6,43624334558272e+06;0,000000000;1,25351625328430e+07
2018-06-01;2311603;8,91390428588987e+05;0,000000000;6,10620464578904e+05
2018-06-01;2311702;9,56960051855997e+05;0,000000000;2,86918240176197e+06
2018-06-01;2311801;4,24581081420424e+06;0,000000000;6,63596282748310e+06
2018-06-01;2311900;3,24428008992221e+05;0,000000000;2,68837842019998e+05
2018-06-01;2311959;2,11004755097672e+05;0,000000000;1,05664182842346e+06
2018-06-01;2312007;1,53501430951920e+06;0,000000000;1,80295037957284e+06
2018-06-01;2312106;8,39134315038934e+05;0,000000000;1,17412337212645e+05
2018-06-01;2312502;2,25685603612676e+05;0,000000000;6,55985448771127e+04
2018-06-01;2312601;2,99033424786796e+05;0,000000000;3,29500981274507e+03
2018-06-01;2312700;4,35216293190351e+05;0,000000000;1,56112635954279e+06
2018-06-01;2312908;1,97305652612361e+07;0,000000000;3,06622146088537e+07
2018-06-01;2313005;5,04482264107439e+06;0,000000000;3,41629813093556e+06
2018-06-01;2313104;1,28825856254188e+06;0,000000000;8,16302943792259e+05
2018-06-01;2313302;3,63369089447493e+06;0,000000000;1,12183881090606e+07
2018-06-01;2313351;1,29746653516928e+06;0,000000000;3,41579108308992e+06
2018-06-01;2313401;7,63303286452544e+05;0,000000000;4,58518638695781e+06
2018-06-01;2313500;1,39585819126797e+06;0,000000000;4,09909897891394e+06
2018-06-01;2313559;4,12778077549450e+05;0,000000000;7,28147438793905e+05
2018-06-01;2313708;3,15959845057747e+04;0,000000000;1,63302378961673e+04
2018-06-01;2313757;3,23464748983162e+05;0,000000000;3,23318319649826e+06
2018-06-01;2313807;3,45239539223683e+05;0,000000000;1,99362036527668e+06
2018-06-01;2314102;1,75701325980690e+06;0,000000000;5,03709160017415e+06
2018-08-01;2300101;2,96030542792917e+06;0,000000000;7,95167771260204e+05
2018-08-01;2300150;6,93236499096916e+05;0,000000000;1,00325145699655e+06
2018-08-01;2300200;3,69647541668571e+06;0,000000000;3,04078822019567e+06
2018-08-01;2300309;2,14338566930878e+05;0,000000000;4,91893491115877e+06
2018-08-01;2300606;2,82671649577480e+05;0,000000000;8,38630735717998e+05
2018-08-01;2300705;1,23262687629535e+06;0,000000000;2,70898960821375e+06
2018-08-01;2300754;3,28816009770678e+06;0,000000000;3,25989489714399e+06
2018-08-01;2300903;1,41136102671142e+06;0,000000000;2,29810819278881e+06
2018-08-01;2301000;2,51535445825674e+06;0,000000000;1,62119289449838e+07
2018-08-01;2301109;1,03543314326340e+06;0,000000000;2,62740827563106e+07
2018-08-01;2301208;2,43744774764154e+06;0,000000000;3,88879785549304e+06
2018-08-01;2301307;3,26102236978952e+06;0,000000000;7,06821050071986e+06
2018-08-01;2301406;5,79749800259465e+05;0,000000000;1,05026631770635e+06
2018-08-01;2301505;2,96252147932587e+05;0,000000000;2,05146710397252e+06
2018-08-01;2301604;1,71850190030515e+06;0,000000000;2,41685404409589e+06
2018-08-01;2301802;3,37380504973846e+06;0,000000000;2,11270940752812e+06
2018-08-01;2301851;1,43173420018742e+06;0,000000000;1,95229108429201e+06
